order_item_id,order_id,product_id,sales,quantity,discount,profit
1,CA-2012-124891,TEC-AC-10003033,2309.65,7,0.0,762.1845
2,IN-2013-77878,FUR-CH-10003950,3709.395,9,0.1,-288.765
3,IN-2013-71249,TEC-PH-10004664,5175.171,9,0.1,919.971
4,ES-2013-1579342,TEC-PH-10004583,2892.51,5,0.1,-96.54
5,SG-2013-4320,TEC-SHA-10000501,2832.96,8,0.0,311.52
6,IN-2013-42360,TEC-PH-10000030,2862.675,5,0.1,763.275
7,IN-2011-81826,FUR-CH-10004050,1822.08,4,0.0,564.84
8,IN-2012-86369,FUR-TA-10002958,5244.84,6,0.0,996.48
9,CA-2014-135909,OFF-BI-10003527,5083.96,5,0.2,1906.485
10,CA-2012-116638,FUR-TA-10000198,4297.644,13,0.4,-1862.3124
11,CA-2011-102988,OFF-SU-10002881,4164.05,5,0.0,83.281
12,ID-2012-28402,FUR-TA-10001889,4626.15,5,0.0,647.55
13,SA-2011-1830,TEC-CIS-10001717,2616.96,4,0.0,1151.4
14,MX-2012-130015,FUR-CH-10002033,2221.8,7,0.0,622.02
15,IN-2013-73951,OFF-AP-10003500,3701.52,12,0.0,1036.08
16,ES-2014-5099955,OFF-AP-10000423,1869.588,4,0.1,186.948
17,CA-2014-143567,TEC-AC-10004145,2249.91,9,0.0,517.4793
18,ES-2014-1651774,OFF-AP-10004512,7958.58,14,0.0,3979.08
19,IN-2014-11763,TEC-CO-10000865,2565.594,9,0.1,28.404
20,TZ-2014-8190,OFF-KIT-10004058,3409.74,6,0.0,818.28
21,PL-2012-7820,FUR-HON-10000224,1977.72,4,0.0,276.84
22,CA-2011-154627,TEC-PH-10001363,2735.952,6,0.2,341.994
23,IN-2011-44803,FUR-CH-10000027,2754.0,6,0.0,358.02
24,ES-2013-2860574,OFF-AP-10003590,5273.7,10,0.0,1898.4
25,US-2014-133193,TEC-PH-10004182,1713.84,4,0.0,445.52
26,MX-2014-165309,FUR-TA-10002827,2106.496,8,0.2,526.496
27,IN-2011-10286,FUR-TA-10004744,1715.16,2,0.0,720.36
28,ES-2011-4699764,OFF-AP-10004512,3069.738,6,0.1,1364.238
29,CA-2013-159016,TEC-PH-10002885,4158.912,8,0.2,363.9048
30,IN-2012-44810,FUR-CH-10001415,1878.72,4,0.0,582.36
31,US-2011-128776,TEC-PH-10002815,1696.64,5,0.2,-148.46
32,ES-2012-5870268,TEC-MA-10000161,2402.865,9,0.15,763.155
33,CA-2012-139731,FUR-CH-10002024,2453.43,5,0.3,-350.49
34,IN-2011-28087,OFF-AP-10004246,2526.93,5,0.1,561.48
35,CA-2011-168494,FUR-TA-10003473,3610.848,12,0.2,135.4068
36,CG-2011-8610,TEC-APP-10000308,3817.26,6,0.0,1068.66
37,CA-2011-160766,TEC-MA-10003979,2799.96,4,0.0,1371.9804
38,US-2014-168116,TEC-MA-10004125,7999.98,4,0.5,-3839.9904
39,ES-2014-2637201,TEC-CO-10000013,4141.02,13,0.0,1697.67
40,IN-2011-61302,TEC-PH-10004664,2875.095,5,0.1,511.095
41,ID-2013-63976,TEC-PH-10000499,3200.5962,6,0.17,-77.2038
42,IN-2014-37320,TEC-PH-10003856,4518.78,7,0.0,632.52
43,IN-2014-76016,FUR-BO-10004852,5667.87,13,0.0,2097.03
44,ES-2012-5877219,TEC-PH-10004583,5785.02,9,0.0,404.73
45,IT-2011-3183678,OFF-AP-10000486,3018.624,7,0.2,377.244
46,CA-2011-116904,OFF-BI-10001120,9449.95,5,0.0,4630.4755
47,IT-2013-3085011,FUR-CH-10003365,2092.5,5,0.1,720.75
48,IN-2014-50473,FUR-CH-10000602,2761.2,6,0.0,110.34
49,IN-2014-35983,TEC-MA-10002680,2174.13,7,0.0,500.01
50,MX-2014-126984,FUR-CH-10000891,3473.14,11,0.0,868.12
51,US-2012-163825,OFF-BI-10003527,3050.376,3,0.2,1143.891
52,IR-2014-8540,TEC-CAN-10003392,2108.64,8,0.0,527.04
53,US-2014-135013,TEC-CO-10001449,2399.96,5,0.2,839.986
54,IN-2011-10286,FUR-BO-10001372,2197.5,5,0.0,153.75
55,MZ-2013-3690,TEC-MOT-10002272,2582.16,4,0.0,593.88
56,IN-2012-66342,TEC-CO-10004997,1526.52,4,0.0,732.72
57,CA-2012-111829,TEC-CO-10001766,3149.93,7,0.0,1480.4671
58,IN-2012-48240,FUR-TA-10000226,1745.34,2,0.0,226.86
