order_id,order_date,ship_date,ship_mode,customer_id,location_id,shipping_cost,order_priority
AE-2011-9160,2011-03-10,2011-07-10,Standard Class,PO-8865,3393,9.56,Medium
AE-2013-1130,2013-10-14,2013-10-14,Same Day,EB-4110,1948,60.18,High
AE-2013-1530,2013-12-31,2014-03-01,Second Class,MY-7380,1948,3.16,High
AE-2014-2840,2014-05-11,2014-08-11,First Class,PG-8820,3393,8.04,Critical
AE-2014-3830,2014-12-13,2014-12-19,Standard Class,GH-4665,1948,19.380000000000003,Medium
AE-2014-4120,2014-07-03,2014-11-03,Standard Class,JD-5790,3393,0.49,Medium
AG-2011-1070,2011-10-01,2011-01-15,Second Class,TH-11235,2314,31.41,Medium
AG-2011-1390,2011-08-16,2011-08-21,Standard Class,DH-3675,2452,37.730000000000004,Medium
AG-2011-1440,2011-12-15,2011-12-20,Standard Class,DB-3210,2314,3.04,Medium
AG-2011-2040,2011-01-01,2011-06-01,Standard Class,TB-11280,2314,35.46,Medium
AG-2011-3090,2011-08-13,2011-08-17,Standard Class,AH-210,493,20.15,Medium
AG-2011-3130,2011-11-03,2011-03-16,Standard Class,AJ-780,2059,2.83,Medium
AG-2011-380,2011-03-03,2011-09-03,Standard Class,CC-2370,493,9.51,Medium
AG-2011-4410,2011-02-11,2011-04-11,First Class,JH-5985,2452,4.29,High
AG-2011-4450,2011-06-15,2011-06-15,Same Day,RS-9765,493,3.8,Critical
AG-2011-450,2011-07-11,2011-11-11,Standard Class,BC-1125,493,1.05,Medium
AG-2011-4560,2011-12-20,2011-12-27,Standard Class,EG-3900,858,197.73999999999998,Low
AG-2011-500,2011-11-23,2011-11-27,Standard Class,AS-285,2314,3.48,Medium
AG-2011-60,2011-08-13,2011-08-18,Second Class,TT-11070,493,0.74,Medium
AG-2011-7230,2011-07-01,2011-11-01,Standard Class,AC-420,493,4.36,Medium
AG-2011-7710,2011-05-24,2011-05-27,First Class,BM-1785,814,78.7,Critical
AG-2011-8180,2011-02-25,2011-02-25,Same Day,RO-9780,493,403.42,Critical
AG-2011-8390,2011-07-19,2011-07-24,Standard Class,MW-8220,1157,3.98,Medium
AG-2011-8930,2011-12-26,2011-12-27,Same Day,MW-8220,493,9.32,Medium
AG-2011-9060,2011-12-20,2011-12-25,Standard Class,OT-8730,2314,12.63,Medium
AG-2011-9610,2011-04-22,2011-04-25,First Class,AA-645,493,47.5,High
AG-2011-9670,2011-12-22,2011-12-24,First Class,DK-2835,948,102.07,Medium
AG-2011-9890,2011-06-26,2011-02-07,Standard Class,BM-1785,1157,20.23,Medium
AG-2012-170,2012-11-30,2012-03-12,Second Class,PF-9165,2692,27.54,Critical
AG-2012-1940,2012-07-31,2012-04-08,Standard Class,BP-1230,1781,17.79,Medium
AG-2012-2200,2012-11-29,2012-02-12,First Class,TS-11505,493,199.04,Medium
AG-2012-2220,2012-12-26,2012-12-30,Standard Class,PO-8865,814,176.98999999999998,High
AG-2012-2430,2012-08-31,2012-05-09,Standard Class,CC-2430,948,9.95,Medium
AG-2012-3190,2012-05-19,2012-05-24,Standard Class,SZ-10035,3025,5.1899999999999995,Medium
AG-2012-4060,2012-03-19,2012-03-21,First Class,LM-7065,858,29.58,Medium
AG-2012-4630,2012-05-28,2012-05-30,Second Class,CP-2340,1157,242.57999999999998,Medium
AG-2012-4750,2012-10-12,2012-12-14,Standard Class,LM-7065,2314,15.719999999999999,Medium
AG-2012-4910,2012-11-16,2012-11-22,Standard Class,KF-6285,493,5.29,Medium
AG-2012-5400,2012-05-01,2012-05-01,Same Day,RB-9570,493,40.94,High
AG-2012-6020,2012-08-20,2012-08-24,Standard Class,DC-3285,3025,33.010000000000005,High
AG-2012-6390,2012-11-26,2012-11-30,Standard Class,GH-4410,493,1.1,Medium
AG-2012-7530,2012-08-08,2012-08-14,Standard Class,AA-480,3399,7.95,Medium
AG-2012-8490,2012-09-18,2012-09-23,Standard Class,LC-7050,2059,54.75,Medium
